│ 2026-03-28 12:14:11.20  │ 51.553433 │ -0.155702 │ 39.8 │   0.30 │   0.48 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     159 │      39 │     739 │       0 │     739 │   11394 │      10 │       0 │      39 │      10 │
│ 2026-03-28 12:14:11.30  │ 51.553432 │ -0.155702 │ 39.8 │   0.33 │   0.53 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     103 │      83 │     883 │       0 │     883 │   11538 │     154 │       0 │      83 │     154 │
│ 2026-03-28 12:14:11.60  │ 51.553431 │ -0.155702 │ 39.8 │   0.35 │   0.56 │ 684.0 │        6 │   0.00 │    0.000 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     147 │      19 │     121 │       0 │     121 │   11782 │     194 │       0 │      19 │     194 │
│ 2026-03-28 12:14:11.60  │ 51.553431 │ -0.155702 │ 39.8 │   0.37 │   0.59 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     163 │      37 │     337 │       0 │     337 │   11998 │     205 │       0 │      37 │     205 │
│ 2026-03-28 12:14:12.00  │ 51.553430 │ -0.155702 │ 39.8 │   0.36 │   0.58 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     177 │      51 │     551 │       0 │     551 │   12212 │      10 │       0 │      51 │      10 │
│ 2026-03-28 12:14:12.10  │ 51.553430 │ -0.155702 │ 39.8 │   0.36 │   0.57 │ 684.0 │        6 │   0.00 │    0.000 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     121 │      95 │     695 │       0 │     695 │   12356 │     154 │       0 │      95 │     154 │
│ 2026-03-28 12:14:12.30  │ 51.553429 │ -0.155702 │ 39.8 │   0.35 │   0.56 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     136 │      10 │     910 │       0 │     910 │   12571 │     165 │       0 │      10 │     165 │
│ 2026-03-28 12:14:12.50  │ 51.553427 │ -0.155701 │ 39.7 │   0.29 │   0.46 │ 684.0 │        6 │   0.00 │    0.010 │    0.970 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     191 │      66 │     166 │       0 │     166 │   12827 │      10 │       0 │      66 │      10 │
│ 2026-03-28 12:14:12.70  │ 51.553427 │ -0.155701 │ 39.7 │   0.25 │   0.40 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     196 │      71 │     371 │       0 │     371 │   13032 │      11 │       0 │      71 │      11 │
│ 2026-03-28 12:14:12.80  │ 51.553427 │ -0.155701 │ 39.8 │   0.19 │   0.30 │ 684.0 │        6 │   0.00 │    0.010 │    0.960 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │       0 │   237.0 │     3.0 │     0.0 │     0.0 │       0 │     184 │      64 │     564 │       0 │     564 │   13225 │     204 │       0 │      64 │     204 │
